model,accuracy,f1,precision,recall,roc_auc,tn,fp,fn,tp
log_reg,0.7951588282328996,0.3961859867152346,0.265699094697514,0.7785263157894737,0.8731611063539354,20029,5110,526,1849
random_forest,0.8547648469869884,0.4331914893617021,0.3266310160427808,0.6429473684210526,0.8676420491540717,21991,3148,848,1527
xgboost,0.8891836883041361,0.48713204373423047,0.40560224089635855,0.6096842105263158,0.883103669911084,23017,2122,927,1448
